Date,Temp
1/1/22,23.5
1/2/22,27.8
1/3/22,28.1
1/4/22,29.3
1/5/22,32.9
1/6/22,36.2
1/7/22,39.1
1/8/22,38.9
1/9/22,37.8
1/10/22,36.5
1/11/22,32.9
1/12/22,31.6
1/13/22,30.3
1/14/22,33.2
1/15/22,32.8
1/16/22,35.1
1/17/22,35.4
1/18/22,32.4
1/19/22,28.7
1/20/22,28.3
1/21/22,32.2
1/22/22,35.1
1/23/22,34.6
1/24/22,32.7
1/25/22,34.8
1/26/22,33.6
1/27/22,33.2
1/28/22,34.9
1/29/22,32.4
1/30/22,31.5
1/31/22,32.8
2/1/22,32.2
2/2/22,33.7
2/3/22,32.8
2/4/22,33.5
2/5/22,35.7
2/6/22,34.5
2/7/22,34.6
2/8/22,35.3
2/9/22,35.8
2/10/22,34.7
2/11/22,33.2
2/12/22,30.9
2/13/22,31.6
2/14/22,35.3
2/15/22,35.9
2/16/22,38.1
2/17/22,39.2
2/18/22,38.9
2/19/22,40.2
2/20/22,39.7
2/21/22,40.4
2/22/22,38.5
2/23/22,38.7
2/24/22,40.1
2/25/22,40.5
2/26/22,38.9
2/27/22,36.5
2/28/22,37.4
3/1/22,36.9
3/2/22,39.1
3/3/22,38.7
3/4/22,40.2
3/5/22,44.8
3/6/22,47.9
3/7/22,51.7
3/8/22,52.3
3/9/22,49.2
3/10/22,49.4
3/11/22,49.6
3/12/22,52.1
3/13/22,51.7
3/14/22,48.2
3/15/22,46.6
3/16/22,44.8
3/17/22,43.5
3/18/22,45.7
3/19/22,50.2
3/20/22,54.1
3/21/22,56.7
3/22/22,56.2
3/23/22,51.2
3/24/22,49.5
3/25/22,48.1
3/26/22,47.7
3/27/22,47.1
3/28/22,49.8
3/29/22,52.7
3/30/22,54.4
3/31/22,55.8